# dual multiplier for the CMS Extremal Problem 2 constant C_+(A)
# m = 1 on [0,1], the cells below on [1,T], 0 past T; m even.
# C_+(A) <= sup_x |mcheck(x)|,  mcheck(x) = int e^{2 pi i x t} m(t) dt
# 300 geometric cells (p=2.2) on [1,11]; float sup on a 1e-4 grid (not a proof): 1.120412620
# certified in ARB: C_+(12.5) <= 1.12045   (certificates/cplus_dual_cert.py)
A = 12.5
T = 11
cell 2585809/262144 10415389/1048576 -44493/1048576
cell 10415389/1048576 5243923/524288 8303/524288
cell 5243923/524288 10560609/1048576 -1839/524288
cell 10560609/1048576 2658419/262144 5385/1048576
cell 2658419/262144 1338381/131072 -13749/1048576
cell 1338381/131072 10780725/1048576 19879/1048576
cell 10780725/1048576 2713677/262144 -9253/1048576
cell 2713677/262144 2732249/262144 -5381/1048576
cell 2732249/262144 11003591/1048576 7755/262144
cell 11003591/1048576 2769623/262144 -22495/1048576
cell 2769623/262144 11153699/1048576 1813/131072
cell 11153699/1048576 2807303/262144 6831/262144
cell 2807303/262144 1413129/131072 -45809/1048576
cell 1413129/131072 1422645/131072 12889/262144
cell 1422645/131072 5728797/524288 -27541/524288
cell 5728797/524288 11 14469/1048576
