# dual multiplier for the CMS Extremal Problem 2 constant C_+(A)
# m = 1 on [0,1], the cells below on [1,T], 0 past T; m even.
# C_+(A) <= sup_x |mcheck(x)|,  mcheck(x) = int e^{2 pi i x t} m(t) dt
# 400 geometric cells (p=2.2) on [1,7]; float sup on a 1e-4 grid (not a proof): 1.107857792
# certified in ARB: C_+(28) <= 1.1079   (certificates/cplus_dual_cert.py)
A = 28
T = 7
cell 2188349/1048576 2202021/1048576 390919/524288
cell 2202021/1048576 1107891/524288 1
cell 1107891/524288 2229633/1048576 -951449/1048576
cell 2229633/1048576 560893/262144 -1106337/1048576
cell 560893/262144 2257601/1048576 1
cell 2257601/1048576 2271719/1048576 1
cell 2271719/1048576 1142963/524288 -200675/131072
cell 1142963/524288 2300223/1048576 134667/262144
cell 2300223/1048576 1157305/524288 1
cell 1157305/524288 1164543/524288 -882289/524288
cell 1164543/524288 585913/262144 1
cell 585913/262144 589577/262144 230237/1048576
cell 589577/262144 1186527/524288 -82045/65536
cell 1186527/524288 2387891/1048576 1
cell 2387891/1048576 2402817/1048576 -13861/131072
cell 2402817/1048576 1208917/524288 -728261/1048576
cell 1208917/524288 2432941/1048576 1
cell 2432941/1048576 1224069/524288 -69041/262144
cell 1224069/524288 1231713/524288 -1439297/1048576
cell 1231713/524288 2478805/1048576 1
cell 2478805/1048576 1247137/524288 -244757/1048576
cell 1247137/524288 2509835/1048576 -49919/524288
cell 2509835/1048576 1262743/524288 1
cell 1262743/524288 635307/262144 -981365/524288
cell 635307/262144 2557061/1048576 111013/524288
cell 2557061/1048576 2572985/1048576 1
cell 2572985/1048576 2589001/1048576 -810803/1048576
cell 2589001/1048576 651277/262144 -780593/1048576
cell 651277/262144 2621307/1048576 1
cell 2621307/1048576 659399/262144 -157427/131072
cell 659399/262144 1326989/524288 62177/131072
cell 1326989/524288 2670451/1048576 1
cell 2670451/1048576 335877/131072 -2356293/1048576
cell 335877/131072 2703673/1048576 76959/262144
cell 2703673/1048576 1360211/524288 -425291/1048576
cell 1360211/524288 2737263/1048576 337587/524288
cell 2737263/1048576 688549/262144 1
cell 688549/262144 2771221/1048576 -2078951/1048576
cell 2771221/1048576 1394169/524288 50117/1048576
cell 1394169/524288 701387/262144 -1298523/1048576
cell 701387/262144 1411425/524288 722847/1048576
cell 1411425/524288 2840245/1048576 1
cell 2840245/1048576 714433/262144 -816309/524288
cell 714433/262144 179707/65536 235439/262144
cell 179707/65536 2892985/1048576 -663461/524288
cell 2892985/1048576 2910751/1048576 -85159/65536
cell 2910751/1048576 2928609/1048576 1
cell 2928609/1048576 2946561/1048576 -1201635/1048576
cell 2946561/1048576 1482303/524288 403291/1048576
cell 1482303/524288 2982743/1048576 1
cell 2982743/1048576 3000975/1048576 -75747/131072
cell 3000975/1048576 3019299/1048576 -2564107/1048576
cell 3019299/1048576 3037717/1048576 1
cell 3037717/1048576 764057/262144 -1511065/524288
cell 764057/262144 3074833/1048576 24299/65536
cell 3074833/1048576 773383/262144 1
cell 773383/262144 778081/262144 -462321/1048576
cell 778081/262144 1565605/524288 231149/1048576
cell 1565605/524288 1575095/524288 1
cell 1575095/524288 198079/65536 1
cell 198079/65536 199277/65536 1
cell 199277/65536 1603847/524288 1
cell 1603847/524288 1613525/524288 1
cell 1613525/524288 3246501/1048576 1
cell 3246501/1048576 1633023/524288 1
cell 1633023/524288 3285685/1048576 1
cell 3285685/1048576 3305419/1048576 1
cell 3305419/1048576 51957/16384 -1290993/524288
cell 51957/16384 3345171/1048576 644627/1048576
cell 3345171/1048576 841297/262144 -1055883/1048576
cell 841297/262144 3385301/1048576 1
cell 3385301/1048576 851377/262144 1
cell 851377/262144 3425811/1048576 -1523767/1048576
cell 3425811/1048576 53847/16384 -98483/262144
cell 53847/16384 3466701/1048576 1
cell 3466701/1048576 435911/131072 -5083/524288
cell 435911/131072 3507971/1048576 -525001/524288
cell 3507971/1048576 3528749/1048576 1
cell 3528749/1048576 3549623/1048576 -348735/524288
cell 3549623/1048576 111581/32768 -212867/524288
cell 111581/32768 448957/131072 1
cell 448957/131072 3612817/1048576 -450459/524288
cell 3612817/1048576 3634073/1048576 737171/1048576
