# dual multiplier for the CMS Extremal Problem 2 constant C_+(A)
# m = 1 on [0,1], the cells below on [1,T], 0 past T; m even.
# C_+(A) <= sup_x |mcheck(x)|,  mcheck(x) = int e^{2 pi i x t} m(t) dt
# 300 geometric cells (p=2.2) on [1,13]; float sup on a 1e-4 grid (not a proof): 1.107694543
# certified in ARB: C_+(20) <= 1.10774   (certificates/cplus_dual_cert.py)
A = 20
T = 13
cell 6319371/524288 12727155/1048576 -1377/1048576
cell 12727155/1048576 6407967/524288 -3743/1048576
cell 6407967/524288 12905081/1048576 407/65536
cell 12905081/1048576 6497297/524288 -4889/524288
cell 6497297/524288 13084475/1048576 225/131072
cell 13084475/1048576 13174723/1048576 -1939/262144
cell 13174723/1048576 13265339/1048576 475/524288
cell 13265339/1048576 3339081/262144 -3233/262144
cell 3339081/262144 3361919/262144 4207/524288
cell 3361919/262144 6769699/524288 155/262144
cell 6769699/524288 13 6285/1048576
