# dual multiplier for the CMS Extremal Problem 2 constant C_+(A)
# m = 1 on [0,1], the cells below on [1,T], 0 past T; m even.
# C_+(A) <= sup_x |mcheck(x)|,  mcheck(x) = int e^{2 pi i x t} m(t) dt
# 300 geometric cells (p=2.2) on [1,7]; float sup on a 1e-4 grid (not a proof): 1.108415645
# certified in ARB: C_+(33) <= 1.10844   (certificates/cplus_dual_cert.py)
A = 33
T = 7
cell 957423/262144 482417/131072 -232385/1048576
cell 482417/131072 3889151/1048576 -536829/1048576
cell 3889151/1048576 3919137/1048576 46153/524288
cell 3919137/1048576 246831/65536 431111/1048576
cell 246831/65536 1989813/524288 -389847/1048576
cell 1989813/524288 4010129/1048576 -61071/524288
cell 4010129/1048576 1010201/262144 -207527/1048576
cell 1010201/262144 1017913/262144 516873/1048576
cell 1017913/262144 256417/65536 -365975/1048576
cell 256417/65536 4133865/1048576 -244459/1048576
cell 4133865/1048576 4165231/1048576 160195/1048576
cell 4165231/1048576 2098385/524288 137199/1048576
cell 2098385/524288 2114241/524288 -460723/1048576
cell 2114241/524288 266273/65536 174293/1048576
cell 266273/65536 4292427/1048576 -89565/1048576
cell 4292427/1048576 4324661/1048576 42257/262144
cell 4324661/1048576 1089267/262144 -81427/262144
cell 1089267/262144 4389649/1048576 84857/1048576
cell 4389649/1048576 1105601/262144 -4019/65536
cell 1105601/262144 2227667/524288 270325/1048576
cell 2227667/524288 2244219/524288 -529027/1048576
cell 2244219/524288 4521717/1048576 143933/1048576
cell 4521717/1048576 4555171/1048576 271593/524288
cell 4555171/1048576 17925/4096 -737363/1048576
cell 17925/4096 1155651/262144 330183/1048576
cell 1155651/262144 4656583/1048576 38391/524288
cell 4656583/1048576 2345369/524288 -42525/1048576
cell 2345369/524288 4725069/1048576 -149917/1048576
cell 4725069/1048576 4759575/1048576 64385/1048576
cell 4759575/1048576 4794257/1048576 61835/262144
cell 4794257/1048576 4829115/1048576 33421/1048576
cell 4829115/1048576 4864149/1048576 -283663/524288
cell 4864149/1048576 153105/32768 958013/1048576
cell 153105/32768 4934747/1048576 -66765/262144
cell 4934747/1048576 4970311/1048576 -264045/1048576
cell 4970311/1048576 5006051/1048576 157987/1048576
cell 5006051/1048576 5041969/1048576 1
cell 5041969/1048576 5078063/1048576 -254517/262144
cell 5078063/1048576 5114335/1048576 273343/1048576
cell 5114335/1048576 80481/16384 1
cell 80481/16384 5187411/1048576 90303/524288
cell 5187411/1048576 5224215/1048576 -41821/131072
cell 5224215/1048576 5261197/1048576 -91661/131072
cell 5261197/1048576 5298357/1048576 6933/65536
cell 5298357/1048576 333481/65536 83025/524288
cell 333481/65536 1343303/262144 -394949/1048576
cell 1343303/262144 5410907/1048576 -428487/524288
cell 5410907/1048576 1362195/262144 425393/524288
cell 1362195/262144 342927/65536 -435953/1048576
cell 342927/65536 2762531/524288 -22165/1048576
cell 2762531/524288 347717/65536 190881/1048576
cell 347717/65536 5602061/1048576 -9207/524288
cell 5602061/1048576 5640829/1048576 -5445/32768
cell 5640829/1048576 177493/32768 307847/1048576
cell 177493/32768 5718903/1048576 -265193/1048576
cell 5718903/1048576 5758209/1048576 35083/262144
cell 5758209/1048576 5797695/1048576 -945/65536
cell 5797695/1048576 5837361/1048576 14303/262144
cell 5837361/1048576 5877207/1048576 -53235/262144
cell 5877207/1048576 5917233/1048576 171075/524288
cell 5917233/1048576 5957439/1048576 -308755/1048576
cell 5957439/1048576 2998913/524288 74809/524288
cell 2998913/524288 3019197/524288 49977/1048576
cell 3019197/524288 3039571/524288 -73757/524288
cell 3039571/524288 6120071/1048576 29529/262144
cell 6120071/1048576 6161181/1048576 31119/524288
cell 6161181/1048576 775309/131072 -165301/1048576
cell 775309/131072 780493/131072 172655/1048576
cell 780493/131072 3142799/524288 -56583/1048576
cell 3142799/524288 6327433/1048576 9525/524288
cell 6327433/1048576 3184725/524288 16197/524288
cell 3184725/524288 50091/8192 2203/524288
cell 50091/8192 6454029/1048576 -17975/524288
cell 6454029/1048576 6496591/1048576 13329/262144
cell 6496591/1048576 817417/131072 21999/524288
cell 817417/131072 6582263/1048576 -107167/1048576
cell 6582263/1048576 1656343/262144 53495/262144
cell 1656343/262144 833583/131072 -53473/262144
cell 833583/131072 3356069/524288 66305/524288
cell 3356069/524288 1688949/262144 -20859/1048576
cell 1688949/262144 1699909/262144 -5219/131072
cell 1699909/262144 6843659/1048576 29069/524288
cell 6843659/1048576 6887865/1048576 39571/524288
cell 6887865/1048576 6932255/1048576 -215935/1048576
cell 6932255/1048576 1744207/262144 273659/1048576
cell 1744207/262144 7021585/1048576 -106097/524288
cell 7021585/1048576 7066525/1048576 -58853/1048576
cell 7066525/1048576 3555825/524288 83255/262144
cell 3555825/524288 3578479/524288 -269741/524288
cell 3578479/524288 3601225/524288 339663/1048576
cell 3601225/524288 3624063/524288 -26569/524288
cell 3624063/524288 7293987/1048576 -311371/524288
cell 7293987/1048576 7 292167/524288
